FlightNumber,Date,BoosterVersion,PayloadMass,Payload,Orbit,LaunchSite,LandingOutcome,Flights,GridFins,Reused,Legs,LandingPad,Block,Customers,Mission_Outcome,ReusedCount,Serial,Longitude,Latitude,Class
1,2010-06-04,Falcon 9,6123.547647058824,Dragon Qualification Unit,LEO,CCSFS SLC 40,None None,1,False,False,False,,1.0,SpaceX,True,0,B0003,-80.577366,28.5618571,0
2,2012-05-22,Falcon 9,525.0,COTS Demo Flight 2,LEO,CCSFS SLC 40,None None,1,False,False,False,,1.0,NASA(COTS),True,0,B0005,-80.577366,28.5618571,0
3,2013-03-01,Falcon 9,677.0,CRS-2,ISS,CCSFS SLC 40,None None,1,False,False,False,,1.0,NASA (CRS),True,0,B0007,-80.577366,28.5618571,0
4,2013-09-29,Falcon 9,500.0,CASSIOPE,PO,VAFB SLC 4E,False Ocean,1,False,False,False,,1.0,MDA,True,0,B1003,-120.610829,34.632093,0
5,2013-12-03,Falcon 9,3170.0,SES-8,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,SES,True,0,B1004,-80.577366,28.5618571,0
6,2014-01-06,Falcon 9,3325.0,Thaicom 6,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,Thaicom,True,0,B1005,-80.577366,28.5618571,0
7,2014-04-18,Falcon 9,2296.0,CRS-3,ISS,CCSFS SLC 40,True Ocean,1,False,False,True,,1.0,NASA (CRS),True,0,B1006,-80.577366,28.5618571,1
8,2014-07-14,Falcon 9,1316.0,Orbcomm-OG2-M1,LEO,CCSFS SLC 40,True Ocean,1,False,False,True,,1.0,Orbcomm,True,0,B1007,-80.577366,28.5618571,1
9,2014-08-05,Falcon 9,4535.0,AsiaSat 8,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,AsiaSat,True,0,B1008,-80.577366,28.5618571,0
10,2014-09-07,Falcon 9,4428.0,AsiaSat 6,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,AsiaSat,True,0,B1011,-80.577366,28.5618571,0
11,2014-09-21,Falcon 9,2216.0,CRS-4,ISS,CCSFS SLC 40,False Ocean,1,False,False,False,,1.0,NASA (CRS),True,0,B1010,-80.577366,28.5618571,0
12,2015-01-10,Falcon 9,2395.0,CRS-5,ISS,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,NASA (CRS),True,0,B1012,-80.577366,28.5618571,0
13,2015-02-11,Falcon 9,570.0,DSCOVR,ES-L1,CCSFS SLC 40,True Ocean,1,True,False,True,,1.0,"NASA,NOAA,USAF",True,0,B1013,-80.577366,28.5618571,1
14,2015-04-14,Falcon 9,1898.0,CRS-6,ISS,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,NASA (CRS),True,0,B1015,-80.577366,28.5618571,0
15,2015-04-27,Falcon 9,4707.0,TürkmenÄlem 52°E / MonacoSAT,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,Turkmenistan National Space Agency,True,0,B1016,-80.577366,28.5618571,0
16,2015-06-28,Falcon 9,2477.0,CRS-7,ISS,CCSFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,NASA (CRS),False,0,B1018,-80.577366,28.5618571,0
17,2015-12-22,Falcon 9,2034.0,Orbcomm-OG2-M2,LEO,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1.0,Orbcomm,True,0,B1019,-80.577366,28.5618571,1
18,2016-01-17,Falcon 9,553.0,Jason-3,PO,VAFB SLC 4E,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1.0,"NASA,NOAA",True,0,B1017,-120.610829,34.632093,0
19,2016-03-04,Falcon 9,5271.0,SES-9,GTO,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,SES,True,0,B1020,-80.577366,28.5618571,0
20,2016-04-08,Falcon 9,3136.0,CRS-8,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,NASA (CRS),True,1,B1021,-80.577366,28.5618571,1
21,2016-05-06,Falcon 9,4696.0,JCSAT-2B,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,SKY Perfect JSAT Group,True,0,B1022,-80.577366,28.5618571,1
22,2016-05-27,Falcon 9,3100.0,Thaicom 8,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,Thaicom,True,1,B1023,-80.577366,28.5618571,1
23,2016-07-18,Falcon 9,2257.0,CRS-9,ISS,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2.0,NASA (CRS),True,1,B1025,-80.577366,28.5618571,1
24,2016-08-14,Falcon 9,4600.0,JCSAT-16,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,SKY Perfect JCSAT Group,True,0,B1026,-80.577366,28.5618571,1
25,2016-09-01,Falcon 9,5500.0,Amos-6,GTO,CCSFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,3.0,Spacecom,False,0,B1028,-80.577366,28.5618571,0
26,2017-01-14,Falcon 9,9600.0,Iridium NEXT 1,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,Iridium Communications,True,1,B1029,-120.610829,34.632093,1
27,2017-02-19,Falcon 9,2490.0,CRS-10,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,NASA (CRS),True,1,B1031,-80.6039558,28.6080585,1
28,2017-03-16,Falcon 9,5600.0,EchoStar 23,GTO,KSC LC 39A,None None,1,False,False,False,,3.0,EchoStar,True,0,B1030,-80.6039558,28.6080585,0
29,2017-03-30,Falcon 9,5300.0,SES-10,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,2.0,SES,True,1,B1021,-80.6039558,28.6080585,1
30,2017-05-01,Falcon 9,6123.547647058824,NROL-76,LEO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,NRO,True,1,B1032,-80.6039558,28.6080585,1
31,2017-05-15,Falcon 9,6070.0,Inmarsat-5 F4,GTO,KSC LC 39A,None None,1,False,False,False,,3.0,Inmarsat,True,0,B1034,-80.6039558,28.6080585,0
32,2017-06-03,Falcon 9,2708.0,CRS-11,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,NASA (CRS),True,1,B1035,-80.6039558,28.6080585,1
33,2017-06-23,Falcon 9,3669.0,BulgariaSat-1,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,Bulgaria Sat,True,1,B1029,-80.6039558,28.6080585,1
34,2017-06-25,Falcon 9,9600.0,Iridium NEXT 2,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,Iridium Communications,True,1,B1036,-120.610829,34.632093,1
35,2017-07-05,Falcon 9,6761.0,Intelsat 35e,GTO,KSC LC 39A,None None,1,False,False,False,,3.0,Intelsat,True,0,B1037,-80.6039558,28.6080585,0
36,2017-08-14,Falcon 9,2910.0,CRS-12,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,NASA (CRS),True,1,B1039,-80.6039558,28.6080585,1
37,2017-08-24,Falcon 9,475.0,FormoSat-5,SSO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,NSPO (Taiwan),True,1,B1038,-120.610829,34.632093,1
38,2017-09-07,Falcon 9,4990.0,X-37B OTV-5,LEO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,USAF,True,1,B1040,-80.6039558,28.6080585,1
39,2017-10-09,Falcon 9,9600.0,Iridium NEXT 3,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,4.0,Iridium Communications,True,1,B1041,-120.610829,34.632093,1
40,2017-10-11,Falcon 9,5200.0,SES-11 / Echostar 105,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,"SES,Echostar",True,1,B1031,-80.6039558,28.6080585,1
41,2017-10-30,Falcon 9,3700.0,KoreaSat 5A,GTO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,KT Corporation,True,0,B1042,-80.6039558,28.6080585,1
42,2017-12-15,Falcon 9,2205.0,CRS-13,ISS,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,NASA (CRS),True,1,B1035,-80.577366,28.5618571,1
43,2017-12-23,Falcon 9,9600.0,Iridium NEXT 4,PO,VAFB SLC 4E,True Ocean,2,True,True,False,,3.0,Iridium Communications,True,1,B1036,-120.610829,34.632093,1
44,2018-01-08,Falcon 9,6123.547647058824,ZUMA,LEO,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,Northrop Grumman,True,1,B1043,-80.577366,28.5618571,1
45,2018-01-31,Falcon 9,4230.0,GovSat-1,GTO,CCSFS SLC 40,True Ocean,2,True,True,True,,3.0,GovSat,True,1,B1032,-80.577366,28.5618571,1
46,2018-03-06,Falcon 9,6092.0,Hispasat 30W-6,GTO,CCSFS SLC 40,None None,1,True,False,True,,4.0,Hispasat,True,0,B1044,-80.577366,28.5618571,0
47,2018-03-30,Falcon 9,9600.0,Iridium NEXT 5,PO,VAFB SLC 4E,None None,2,True,True,True,,4.0,Iridium Communications,True,1,B1041,-120.610829,34.632093,0
48,2018-04-02,Falcon 9,2760.0,CRS-14,ISS,CCSFS SLC 40,None None,2,True,True,True,,4.0,NASA (CRS),True,1,B1039,-80.577366,28.5618571,0
49,2018-04-18,Falcon 9,350.0,TESS,HEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,NASA,True,1,B1045,-80.577366,28.5618571,1
50,2018-05-11,Falcon 9,3750.0,Bangabandhu-1,GTO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,Bangladesh Gov,True,3,B1046,-80.6039558,28.6080585,1
51,2018-06-04,Falcon 9,5383.85,SES-12,GTO,CCSFS SLC 40,None None,2,False,True,False,,4.0,SES,True,1,B1040,-80.577366,28.5618571,0
52,2018-06-29,Falcon 9,2410.0,CRS-15,ISS,CCSFS SLC 40,None None,2,False,True,False,,4.0,NASA (CRS),True,1,B1045,-80.577366,28.5618571,0
53,2018-07-22,Falcon 9,7076.0,Telstar 19V,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,Telesat,True,2,B1047,-80.577366,28.5618571,1
54,2018-07-25,Falcon 9,9600.0,Iridium NEXT 7,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,Iridium Communications,True,4,B1048,-120.610829,34.632093,1
55,2018-08-07,Falcon 9,5800.0,Telkom-4,GTO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,Telkom,True,3,B1046,-80.577366,28.5618571,1
56,2018-09-10,Falcon 9,7060.0,Telstar 18V,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,Telesat,True,9,B1049,-80.577366,28.5618571,1
57,2018-10-08,Falcon 9,2800.0,SAOCOM 1A,SSO,VAFB SLC 4E,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,CONAE,True,4,B1048,-120.610829,34.632093,1
58,2018-11-15,Falcon 9,3000.0,Es’hail 2,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,Es’hailSat,True,2,B1047,-80.6039558,28.6080585,1
59,2018-12-03,Falcon 9,4000.0,SSO-A,SSO,VAFB SLC 4E,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,"Spaceflight Industries, Inc",True,3,B1046,-120.610829,34.632093,1
60,2018-12-05,Falcon 9,2573.0,CRS-16,ISS,CCSFS SLC 40,False RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,NASA (CRS),True,0,B1050,-80.577366,28.5618571,0
61,2018-12-23,Falcon 9,4400.0,GPS III SV01,MEO,CCSFS SLC 40,None None,1,False,False,False,,5.0,USAF,True,0,B1054,-80.577366,28.5618571,0
62,2019-01-11,Falcon 9,9600.0,Iridium NEXT 8,PO,VAFB SLC 4E,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,Iridium Communications,True,9,B1049,-120.610829,34.632093,1
63,2019-03-02,Falcon 9,12259.0,CCtCap Demo Mission 1,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,NASA (CCtCap),True,12,B1051,-80.6039558,28.6080585,1
64,2019-05-04,Falcon 9,2482.0,CRS-17,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,NASA (CRS),True,3,B1056,-80.577366,28.5618571,1
65,2019-05-24,Falcon 9,13200.0,Starlink v0.9,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,9,B1049,-80.577366,28.5618571,1
66,2019-06-12,Falcon 9,1425.0,RADARSAT Constellation,SSO,VAFB SLC 4E,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,CSA,True,12,B1051,-120.610829,34.632093,1
67,2019-07-25,Falcon 9,2227.7,CRS-18,ISS,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,NASA (CRS),True,3,B1056,-80.577366,28.5618571,1
68,2019-08-06,Falcon 9,6500.0,Amos-17,GTO,CCSFS SLC 40,None None,3,False,True,False,,5.0,Spacecom,True,2,B1047,-80.577366,28.5618571,0
69,2019-11-11,Falcon 9,15600.0,Starlink-1,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,4,B1048,-80.577366,28.5618571,1
70,2019-12-05,Falcon 9,5000.0,CRS-19,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,NASA (CRS),True,5,B1059,-80.577366,28.5618571,1
71,2019-12-17,Falcon 9,6800.0,JCSat 18 / Kacific 1,GTO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,"SKY Perfect JSAT Corporation,Kacific Broadband Satellites Pte Ltd",True,3,B1056,-80.577366,28.5618571,1
72,2020-01-07,Falcon 9,15600.0,Starlink-2,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,9,B1049,-80.577366,28.5618571,1
73,2020-01-19,Falcon 9,6123.547647058824,Crew Dragon In Flight Abort Test,SO,KSC LC 39A,None None,4,False,True,False,,5.0,NASA (CCtCap),True,3,B1046,-80.6039558,28.6080585,0
74,2020-01-29,Falcon 9,15600.0,Starlink-3,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1051,-80.577366,28.5618571,1
75,2020-02-17,Falcon 9,15600.0,Starlink-4,VLEO,CCSFS SLC 40,False ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,3,B1056,-80.577366,28.5618571,0
76,2020-03-07,Falcon 9,1977.0,CRS-20,ISS,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,NASA (CRS),True,5,B1059,-80.577366,28.5618571,1
77,2020-03-18,Falcon 9,15600.0,Starlink-5,VLEO,KSC LC 39A,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,4,B1048,-80.6039558,28.6080585,0
78,2020-04-22,Falcon 9,15600.0,Starlink-6,VLEO,KSC LC 39A,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1051,-80.6039558,28.6080585,1
79,2020-05-30,Falcon 9,9525.0,CCtCap Demo Mission 2,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,NASA (CCtCap),True,13,B1058,-80.6039558,28.6080585,1
80,2020-06-04,Falcon 9,15600.0,Starlink-7,VLEO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,9,B1049,-80.577366,28.5618571,1
81,2020-06-13,Falcon 9,15600.0,Starlink-8,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,5,B1059,-80.577366,28.5618571,1
82,2020-06-30,Falcon 9,3880.0,GPS III SV03 (Columbus),MEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,USAF,True,12,B1060,-80.577366,28.5618571,1
83,2020-07-20,Falcon 9,6123.547647058824,ANASIS-II,GEO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,South Korea,True,13,B1058,-80.577366,28.5618571,1
84,2020-08-18,Falcon 9,15600.0,Starlink-10,VLEO,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,9,B1049,-80.577366,28.5618571,1
85,2020-08-30,Falcon 9,1600.0,SAOCOM 1B,SSO,CCSFS SLC 40,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,5.0,CONAE,True,5,B1059,-80.577366,28.5618571,1
86,2020-09-03,Falcon 9,15600.0,Starlink-11,VLEO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1060,-80.6039558,28.6080585,1
87,2020-10-06,Falcon 9,15600.0,Starlink-12,VLEO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,13,B1058,-80.6039558,28.6080585,1
88,2020-10-18,Falcon 9,15600.0,Starlink-13,VLEO,KSC LC 39A,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1051,-80.6039558,28.6080585,1
89,2020-10-24,Falcon 9,15600.0,Starlink-14,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,12,B1060,-80.577366,28.5618571,1
90,2020-11-05,Falcon 9,3681.0,GPS III SV04 (Sacagawea),MEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,United States Space Force,True,8,B1062,-80.577366,28.5618571,1
